name,stars,rating_no,price
"California Gold Nutrition, MATCHA ROAD, Matcha + Vitamin C - Original, 10 Count",4/5 - 964 Reviews,964,"SG$14.24,SG$19.51,27% Off"
"California Gold Nutrition, MATCHA ROAD, Matcha + Vitamin C - Citrus Ginger, 10 Count",4.2/5 - 796 Reviews,796,"SG$11.69,SG$19.48,40% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 268,339 Reviews","268,339",SG$8.09
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 268,339 Reviews","268,339",SG$22.80
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 153,854 Reviews","153,854",SG$10.79
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,365 Reviews","63,365",SG$16.64
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,100 Reviews","38,100","SG$9.31,SG$11.78,21% Off"
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,190 Reviews","19,190",SG$5.75
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 23,981 Reviews","23,981",SG$30.55
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,469 Reviews","15,469",SG$70.15
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,529 Reviews","16,529",SG$14.19
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,504 Reviews","35,504",SG$8.64
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,154 Reviews","13,154",SG$14.50
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)","4.9/5 - 63,365 Reviews","63,365",SG$28.52
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,506 Reviews","10,506",SG$20.47
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,711 Reviews","2,711",SG$47.28
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,839 Reviews","3,839",SG$29.68
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 23,981 Reviews","23,981",SG$14.16
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,816 Reviews","7,816",SG$13.61
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,775 Reviews","24,775",SG$18.43
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,730 Reviews","3,730",SG$66.11
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,263 Reviews","3,263",SG$24.13
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,333 Reviews","13,333",SG$17.30
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,383 Reviews","18,383",SG$10.08
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,560 Reviews","4,560",SG$28.99
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,782 Reviews","5,782",SG$44.38
"NeoCell, Super Collagen, + Vitamin C & Biotin,  180 Tablets","4.6/5 - 40,699 Reviews","40,699",SG$25.44
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,444 Reviews","7,444",SG$13.53
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,799 Reviews","14,799",SG$14.04
"American Health, Ester-C, 500 mg, 225 Vegetarian Tablets","4.9/5 - 13,854 Reviews","13,854",SG$28.13
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,504 Reviews","35,504",SG$26.46
"Swanson, Vitamin C, Orange, 60 Gummies",4.8/5 - 134 Reviews,134,SG$6.19
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,903 Reviews","14,903",SG$19.72
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,639 Reviews","2,639",SG$67.24
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,641 Reviews","11,641",SG$5.54
"YumEarth, Organic Vitamin C Hard Candies, Antioxidant Fruit, 3.3 oz (93.6 g)","4.8/5 - 6,810 Reviews","6,810",SG$5.58
"21st Century, Vitamin C, 500 mg, 250 Tablets","4.8/5 - 22,523 Reviews","22,523",SG$12.02
"Aurora Nutrascience, Micro-Pack+ Vitamin C, 1,000 mg , 30 Packets, 0.17 fl oz (5 ml) Each",4.5/5 - 483 Reviews,483,SG$49.24
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 360 Veggie Caps","4.7/5 - 5,865 Reviews","5,865",SG$64.65
"Thorne, Vitamin C with Flavonoids, 90 Capsules","4.8/5 - 2,602 Reviews","2,602",SG$24.96
"NOW Foods, C-1000 with Bioflavonoids, 250 Veg Capsules","4.8/5 - 14,799 Reviews","14,799",SG$30.28
"21st Century, Vitamin C, 250 mg, 110 Tablets","4.7/5 - 8,347 Reviews","8,347",SG$5.33
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 VegCaps","4.7/5 - 7,087 Reviews","7,087",SG$33.63
"Natural Factors, Vitamin C, Plus Bioflavonoids & Rosehips, 1,000 mg, 90 Tablets","4.8/5 - 7,953 Reviews","7,953",SG$11.52
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps","4.7/5 - 5,865 Reviews","5,865",SG$27.66
"Lipo Naturals, Liposomal Vitamin C from Sunflowers, 15 oz (443 ml)","4.5/5 - 2,629 Reviews","2,629",SG$43.23
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets","4.8/5 - 3,567 Reviews","3,567","SG$9.76,SG$13.37,27% Off"
"Nature's Bounty, Ester-C, Maximum Strength, 1,000 mg, 120 Vegetarian Coated Tablets","4.9/5 - 9,238 Reviews","9,238",SG$31.33
