name,stars,rating_no,price
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.9/5 - 35,517 Reviews","35,517","SG$6.31,SG$8.64,27% Off"
"California Gold Nutrition, Liposomal Vitamin C, 250 mg, 60 Veggie Capsules","4.7/5 - 1,540 Reviews","1,540","SG$18.23,SG$24.97,27% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 268,487 Reviews","268,487",SG$8.09
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 268,487 Reviews","268,487",SG$22.80
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 153,912 Reviews","153,912",SG$10.79
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,397 Reviews","63,397",SG$16.64
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,126 Reviews","38,126",SG$11.78
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 23,995 Reviews","23,995",SG$30.55
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,200 Reviews","19,200",SG$5.75
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,491 Reviews","15,491",SG$70.15
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,544 Reviews","16,544",SG$14.19
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)","4.9/5 - 63,397 Reviews","63,397",SG$28.52
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,160 Reviews","13,160",SG$14.50
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,514 Reviews","10,514",SG$20.47
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 23,995 Reviews","23,995",SG$14.16
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,841 Reviews","3,841",SG$29.68
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,716 Reviews","2,716",SG$47.28
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,828 Reviews","7,828",SG$13.61
"21st Century, Vitamin C, 500 mg, 110 Tablets","4.8/5 - 22,533 Reviews","22,533",SG$6.71
