name,stars,rating_no,price
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,446 Reviews","35,446","SG$6.31,SG$8.64,27% Off"
"California Gold Nutrition, MATCHA ROAD, Matcha + Vitamin C - Original, 10 Count",4/5 - 961 Reviews,961,"SG$14.24,SG$19.51,27% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 267,834 Reviews","267,834",SG$8.09
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 267,834 Reviews","267,834",SG$22.80
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,255 Reviews","63,255",SG$16.64
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,017 Reviews","38,017","SG$9.31,SG$11.78,21% Off"
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 153,704 Reviews","153,704",SG$10.79
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 23,933 Reviews","23,933",SG$30.55
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 60 Capsules","4.7/5 - 15,420 Reviews","15,420",SG$31.70
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,163 Reviews","19,163","SG$4.31,SG$5.75,25% Off"
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,489 Reviews","16,489",SG$14.19
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,420 Reviews","15,420",SG$70.15
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,125 Reviews","13,125",SG$14.50
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,485 Reviews","10,485",SG$20.47
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,828 Reviews","3,828",SG$29.68
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)","4.9/5 - 63,255 Reviews","63,255",SG$28.52
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,691 Reviews","2,691",SG$47.28
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,742 Reviews","24,742",SG$18.43
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,784 Reviews","7,784",SG$13.61
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 23,933 Reviews","23,933",SG$14.16
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,721 Reviews","3,721",SG$66.11
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,357 Reviews","18,357",SG$10.08
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,310 Reviews","13,310",SG$17.30
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,549 Reviews","4,549",SG$28.99
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,429 Reviews","7,429",SG$13.53
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,246 Reviews","3,246",SG$24.13
"Aurora Nutrascience, Mega-Pack+ Vitamin C, 3,000 mg, 32 Packs, 0.5 fl oz (15 ml) Each",4.7/5 - 691 Reviews,691,SG$70.57
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,762 Reviews","5,762",SG$44.38
"Swanson, Vitamin C, Orange, 60 Gummies",4.8/5 - 125 Reviews,125,SG$6.19
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,773 Reviews","14,773",SG$14.04
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,633 Reviews","2,633",SG$67.24
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,446 Reviews","35,446",SG$26.46
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,881 Reviews","14,881",SG$19.72
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,624 Reviews","11,624",SG$5.54
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 VegCaps","4.7/5 - 7,075 Reviews","7,075",SG$33.63
"NeoCell, Super Collagen, + Vitamin C & Biotin,  180 Tablets","4.6/5 - 40,640 Reviews","40,640",SG$25.44
"Lipo Naturals, Liposomal Vitamin C from Sunflowers, 15 oz (443 ml)","4.5/5 - 2,626 Reviews","2,626",SG$43.23
"Aurora Nutrascience, Micro-Pack+ Vitamin C, 1,000 mg , 30 Packets, 0.17 fl oz (5 ml) Each",4.5/5 - 477 Reviews,477,SG$49.24
"NOW Foods, C-1000 with Bioflavonoids, 250 Veg Capsules","4.8/5 - 14,773 Reviews","14,773",SG$30.28
"Nature's Bounty, Ester-C, Maximum Strength, 1,000 mg, 120 Vegetarian Coated Tablets","4.9/5 - 9,230 Reviews","9,230",SG$31.33
"Thorne, Vitamin C with Flavonoids, 90 Capsules","4.8/5 - 2,596 Reviews","2,596",SG$24.96
"YumEarth, Organic Vitamin C Hard Candies, Antioxidant Fruit, 3.3 oz (93.6 g)","4.8/5 - 6,797 Reviews","6,797",SG$5.58
