name,stars,rating_no,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 270,235 Reviews","270,235","SG$4.09,SG$8.09,49% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 270,235 Reviews","270,235","SG$18.62,SG$23.27,20% Off"
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 154,421 Reviews","154,421","SG$8.86,SG$11.08,20% Off"
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,367 Reviews","38,367","SG$9.43,SG$11.79,20% Off"
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 24,169 Reviews","24,169","SG$24.46,SG$30.57,20% Off"
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,710 Reviews","63,710","SG$13.31,SG$16.64,20% Off"
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,316 Reviews","19,316","SG$4.60,SG$5.75,20% Off"
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,705 Reviews","35,705","SG$7.14,SG$8.93,20% Off"
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,427 Reviews","13,427","SG$13.85,SG$17.31,20% Off"
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,639 Reviews","15,639",SG$70.18
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,450 Reviews","18,450","SG$8.06,SG$10.08,20% Off"
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 24,169 Reviews","24,169","SG$11.34,SG$14.17,20% Off"
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 60 Capsules","4.7/5 - 15,639 Reviews","15,639",SG$31.71
"L'il Critters, Immune C Plus Zinc & Vitamin D, Assorted Flavors, 60 Gummies","4.8/5 - 14,823 Reviews","14,823","SG$8.87,SG$11.09,20% Off"
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,669 Reviews","2,669","SG$34.06,SG$68.13,50% Off"
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,929 Reviews","7,929","SG$10.90,SG$13.62,20% Off"
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,675 Reviews","16,675","SG$11.35,SG$14.19,20% Off"
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,978 Reviews","14,978","SG$11.86,SG$20.45,42% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,898 Reviews","24,898","SG$15.06,SG$18.83,20% Off"
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,763 Reviews","2,763","SG$37.84,SG$47.30,20% Off"
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,250 Reviews","13,250","SG$11.61,SG$14.51,20% Off"
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,309 Reviews","3,309","SG$19.31,SG$24.14,20% Off"
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,602 Reviews","4,602","SG$23.20,SG$29.00,20% Off"
"L'il Critters, Immune C Plus Zinc & Vitamin D, 190 Gummies","4.8/5 - 14,823 Reviews","14,823","SG$22.70,SG$28.38,20% Off"
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,603 Reviews","10,603","SG$16.38,SG$20.48,20% Off"
"Natural Factors, Vitamin C, Plus Bioflavonoids & Rosehips, 1,000 mg, 90 Tablets","4.8/5 - 7,992 Reviews","7,992","SG$9.22,SG$11.52,20% Off"
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,888 Reviews","3,888","SG$23.75,SG$29.69,20% Off"
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,839 Reviews","5,839","SG$35.52,SG$44.40,20% Off"
"Aurora Nutrascience, Mega-Pack+ Glutathione, 750 mg, 32 Packs, 0.5 fl oz (15 ml) Each","4.6/5 - 1,159 Reviews","1,159","SG$76.64,SG$95.80,20% Off"
"American Health, Ester-C with Citrus Bioflavonoids, 500 mg, 60 Capsules","4.9/5 - 2,722 Reviews","2,722","SG$10.11,SG$12.64,20% Off"
"21st Century, Vitamin C, 500 mg, 250 Tablets","4.8/5 - 22,676 Reviews","22,676","SG$9.62,SG$12.02,20% Off"
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,705 Reviews","35,705","SG$21.55,SG$26.94,20% Off"
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,759 Reviews","3,759","SG$52.90,SG$66.13,20% Off"
"Aurora Nutrascience, Mega-Pack+ Vitamin C, 3,000 mg, 32 Packs, 0.5 fl oz (15 ml) Each",4.7/5 - 713 Reviews,713,"SG$56.48,SG$70.60,20% Off"
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,895 Reviews","14,895","SG$11.24,SG$14.05,20% Off"
"Thorne, Vitamin C with Flavonoids, 90 Capsules","4.8/5 - 2,628 Reviews","2,628","SG$19.98,SG$24.97,20% Off"
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,522 Reviews","7,522","SG$10.83,SG$13.54,20% Off"
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 250 Capsules","4.9/5 - 7,929 Reviews","7,929","SG$23.54,SG$29.42,20% Off"
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,691 Reviews","11,691","SG$4.78,SG$5.98,20% Off"
"California Gold Nutrition, Liposomal Vitamin C, 250 mg, 60 Veggie Capsules","4.7/5 - 1,556 Reviews","1,556","SG$20.10,SG$25.12,20% Off"
"21st Century, Vitamin C, 250 mg, 110 Tablets","4.7/5 - 8,388 Reviews","8,388","SG$4.27,SG$5.34,20% Off"
"NOW Foods, C-1000 with Bioflavonoids, 250 Veg Capsules","4.8/5 - 14,895 Reviews","14,895","SG$24.24,SG$30.30,20% Off"
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps","4.7/5 - 5,905 Reviews","5,905","SG$22.14,SG$27.67,20% Off"
"Swanson, Vitamin C, Orange, 60 Gummies",4.7/5 - 161 Reviews,161,"SG$4.96,SG$6.20,20% Off"
"NOW Foods, Buffered C-1000 Complex, 180 Tablets","4.8/5 - 2,484 Reviews","2,484","SG$26.69,SG$33.36,20% Off"
"Mason Natural, Vitamin C, 500 mg, 100 Tablets","4.7/5 - 5,009 Reviews","5,009","SG$5.46,SG$6.82,20% Off"
"Aurora Nutrascience, Micro-Pack+ Vitamin C, 1,000 mg , 30 Packets, 0.17 fl oz (5 ml) Each",4.5/5 - 499 Reviews,499,"SG$39.41,SG$49.26,20% Off"
"Solgar, U-Cubes, Children's Vitamin C Gummies, Orange & Strawberry, 90 Gummies","4.8/5 - 2,405 Reviews","2,405",SG$16.23
