name,stars,rating_no,price
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,431 Reviews","35,431","SG$6.29,SG$8.62,27% Off"
"California Gold Nutrition, Liposomal Vitamin C, 250 mg, 60 Veggie Capsules","4.7/5 - 1,527 Reviews","1,527","SG$18.18,SG$24.91,27% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 267,698 Reviews","267,698",SG$8.07
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 267,698 Reviews","267,698",SG$22.74
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 37,991 Reviews","37,991","SG$9.28,SG$11.75,21% Off"
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,228 Reviews","63,228",SG$16.59
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 153,669 Reviews","153,669",SG$10.76
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,470 Reviews","16,470",SG$14.15
"Sunlipid, Liposomal Vitamin C, 30 Packets, 0.17 fl oz (5 ml) Each","4.4/5 - 9,827 Reviews","9,827",SG$23.86
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 23,913 Reviews","23,913",SG$30.47
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,399 Reviews","15,399",SG$69.97
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,154 Reviews","19,154","SG$4.30,SG$5.74,25% Off"
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,121 Reviews","13,121",SG$14.47
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,686 Reviews","2,686",SG$47.16
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,478 Reviews","10,478",SG$20.42
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,823 Reviews","3,823","SG$21.61,SG$29.60,27% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,729 Reviews","24,729",SG$18.38
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)","4.9/5 - 63,228 Reviews","63,228",SG$28.45
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,770 Reviews","7,770",SG$13.58
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,420 Reviews","7,420",SG$13.50
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 23,913 Reviews","23,913",SG$14.13
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,308 Reviews","13,308",SG$17.26
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,721 Reviews","3,721",SG$65.93
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,348 Reviews","18,348",SG$10.05
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,545 Reviews","4,545",SG$28.91
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,243 Reviews","3,243",SG$24.07
"21st Century, Vitamin C, 500 mg, 110 Tablets","4.8/5 - 22,469 Reviews","22,469",SG$6.69
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,757 Reviews","5,757",SG$44.27
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,767 Reviews","14,767",SG$14.01
"Swanson, Vitamin C, Orange, 60 Gummies",4.8/5 - 124 Reviews,124,SG$6.18
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,633 Reviews","2,633",SG$67.07
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,876 Reviews","14,876",SG$19.67
"NeoCell, Super Collagen, + Vitamin C & Biotin,  270 Tablets","4.6/5 - 40,622 Reviews","40,622",SG$32.98
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,431 Reviews","35,431",SG$26.39
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 VegCaps","4.7/5 - 7,072 Reviews","7,072",SG$33.54
