name,stars,rating_no,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 270,039 Reviews","270,039","SG$4.09,SG$8.09,49% Off"
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,969 Reviews","14,969","SG$11.63,SG$20.06,42% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 270,039 Reviews","270,039",SG$22.73
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 154,377 Reviews","154,377",SG$10.80
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 63,677 Reviews","63,677",SG$16.64
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 24,151 Reviews","24,151",SG$30.57
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,337 Reviews","38,337",SG$11.79
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,303 Reviews","19,303",SG$5.75
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,685 Reviews","35,685",SG$8.64
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,414 Reviews","13,414","SG$15.58,SG$17.31,10% Off"
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 24,151 Reviews","24,151",SG$14.17
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,622 Reviews","15,622",SG$70.18
"NeoCell, Super Collagen, + Vitamin C & Biotin,  180 Tablets","4.6/5 - 40,877 Reviews","40,877",SG$25.45
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 60 Capsules","4.7/5 - 15,622 Reviews","15,622",SG$31.71
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,449 Reviews","18,449",SG$10.08
"L'il Critters, Immune C Plus Zinc & Vitamin D, Assorted Flavors, 60 Gummies","4.8/5 - 14,811 Reviews","14,811",SG$11.09
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,655 Reviews","16,655",SG$14.19
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,914 Reviews","7,914",SG$13.62
