name,stars,rating_no,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 270,433 Reviews","270,433","SG$4.09,SG$8.09,49% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 270,433 Reviews","270,433","SG$18.62,SG$23.27,20% Off"
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 154,486 Reviews","154,486","SG$8.86,SG$11.08,20% Off"
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,399 Reviews","38,399","SG$9.43,SG$11.79,20% Off"
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 24,190 Reviews","24,190","SG$24.46,SG$30.57,20% Off"
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,330 Reviews","19,330","SG$4.60,SG$5.75,20% Off"
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,671 Reviews","2,671","SG$54.50,SG$68.13,20% Off"
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,456 Reviews","18,456","SG$8.06,SG$10.08,20% Off"
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.8/5 - 15,654 Reviews","15,654",SG$70.18
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,721 Reviews","35,721","SG$7.14,SG$8.93,20% Off"
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 24,190 Reviews","24,190","SG$11.34,SG$14.17,20% Off"
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,437 Reviews","13,437","SG$13.85,SG$17.31,20% Off"
"L'il Critters, Immune C Plus Zinc & Vitamin D, Assorted Flavors, 60 Gummies","4.8/5 - 14,830 Reviews","14,830","SG$8.87,SG$11.09,20% Off"
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 60 Capsules","4.8/5 - 15,654 Reviews","15,654",SG$31.71
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,683 Reviews","16,683","SG$11.35,SG$14.19,20% Off"
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,986 Reviews","14,986","SG$11.68,SG$20.14,42% Off"
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,768 Reviews","2,768",SG$47.30
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,914 Reviews","24,914","SG$15.06,SG$18.83,20% Off"
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 7,946 Reviews","7,946","SG$10.90,SG$13.62,20% Off"
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,258 Reviews","13,258","SG$11.61,SG$14.51,20% Off"
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,602 Reviews","4,602","SG$23.20,SG$29.00,20% Off"
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)","4.9/5 - 63,747 Reviews","63,747","SG$22.82,SG$28.53,20% Off"
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,313 Reviews","3,313","SG$19.31,SG$24.14,20% Off"
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,608 Reviews","10,608","SG$16.38,SG$20.48,20% Off"
"L'il Critters, Immune C Plus Zinc & Vitamin D, 190 Gummies","4.8/5 - 14,830 Reviews","14,830","SG$22.70,SG$28.38,20% Off"
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,900 Reviews","3,900","SG$23.75,SG$29.69,20% Off"
"21st Century, Vitamin C, 500 mg, 250 Tablets","4.8/5 - 22,690 Reviews","22,690","SG$9.62,SG$12.02,20% Off"
"Aurora Nutrascience, Mega-Pack+ Glutathione, 750 mg, 32 Packs, 0.5 fl oz (15 ml) Each","4.6/5 - 1,165 Reviews","1,165","SG$76.64,SG$95.80,20% Off"
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,763 Reviews","3,763","SG$52.90,SG$66.13,20% Off"
"21st Century, Vitamin C, 250 mg, 110 Tablets","4.7/5 - 8,391 Reviews","8,391","SG$4.27,SG$5.34,20% Off"
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,843 Reviews","5,843",SG$44.40
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,721 Reviews","35,721","SG$21.55,SG$26.94,20% Off"
"Aurora Nutrascience, Mega-Pack+ Vitamin C, 3,000 mg, 32 Packs, 0.5 fl oz (15 ml) Each",4.7/5 - 716 Reviews,716,"SG$56.48,SG$70.60,20% Off"
"Natural Factors, Vitamin C, Plus Bioflavonoids & Rosehips, 1,000 mg, 90 Tablets","4.8/5 - 7,994 Reviews","7,994","SG$9.22,SG$11.52,20% Off"
"Thorne, Vitamin C with Flavonoids, 90 Capsules","4.8/5 - 2,629 Reviews","2,629",SG$24.97
"American Health, Ester-C, 500 mg, 225 Vegetarian Tablets","4.9/5 - 13,961 Reviews","13,961","SG$22.51,SG$28.14,20% Off"
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,693 Reviews","11,693","SG$4.78,SG$5.98,20% Off"
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,903 Reviews","14,903","SG$11.24,SG$14.05,20% Off"
"Swanson, Vitamin C, Orange, 60 Gummies",4.8/5 - 164 Reviews,164,"SG$4.96,SG$6.20,20% Off"
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 250 Capsules","4.9/5 - 7,946 Reviews","7,946","SG$23.54,SG$29.42,20% Off"
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 Tablets","4.7/5 - 13,258 Reviews","13,258","SG$24.70,SG$30.88,20% Off"
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps","4.7/5 - 5,911 Reviews","5,911","SG$22.14,SG$27.67,20% Off"
"NOW Foods, Chewable C-500, Orange Juice Flavor, 100 Tablets","4.7/5 - 2,500 Reviews","2,500","SG$13.04,SG$16.30,20% Off"
"Solgar, U-Cubes, Children's Vitamin C Gummies, Orange & Strawberry, 90 Gummies","4.8/5 - 2,407 Reviews","2,407",SG$16.23
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,527 Reviews","7,527","SG$10.83,SG$13.54,20% Off"
"NOW Foods, C-1000 with Bioflavonoids, 250 Veg Capsules","4.8/5 - 14,903 Reviews","14,903","SG$24.24,SG$30.30,20% Off"
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 360 Veggie Caps","4.7/5 - 5,911 Reviews","5,911","SG$51.74,SG$64.67,20% Off"
"California Gold Nutrition, KIDS Gold C, Liquid Vitamin C, Tart Orange Flavor, 4 fl oz (118 ml)","4.9/5 - 22,982 Reviews","22,982","SG$9.45,SG$11.81,20% Off"
