name,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules",price
"California Gold Nutrition, MATCHA ROAD, Matcha + Vitamin C - Dragon Fruit, 10 Count",price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules",price
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)",price
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules",price
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)",price
"NOW Foods, C-1000, 250 Tablets",price
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules",price
"NOW Foods, C-1000, 100 Tablets",price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules",price
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps",price
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets",price
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules",price
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules",price
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets",price
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules",price
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)",price
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules",price
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets",price
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets",price
"21st Century, Vitamin C, 500 mg, 250 Tablets",price
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)",price
"NOW Foods, C-500 With Rose Hips, 250 Tablets",price
"California Gold Nutrition, Liposomal Vitamin C, 250 mg, 60 Veggie Capsules",price
"21st Century, C-1000, Prolonged Release, 110 Tablets",price
"NOW Foods, C-1000 Zinc Immune , 180 Veg Capsules",price
"NOW Foods, Vitamin C Crystals, 8 oz (227 g)",price
"NOW Foods, C-1000, 500 Veg Capsules",price
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each",price
"Lipo Naturals, Liposomal Vitamin C from Sunflowers, 15 oz (443 ml)",price
"Solgar, Ester-C Plus Vitamin C, 1,000 mg, 180 Tablets",price
"Life Extension, Vitamin C and Bio-Quercetin Phytosome, 250 Vegetarian Tablets",price
"NutriBiotic, Immunity, Sodium Ascorbate, 250 Vegan Capsules",price
"Natural Factors, Vitamin C, Plus Bioflavonoids & Rosehips, 1,000 mg, 90 Tablets",price
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets",price
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 VegCaps",price
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps",price
"YumEarth, Organic Vitamin C Drops, Antioxidant Fruit, 3.3 oz (93.6 g)",price
"NaturesPlus, Super C Complex, 180 Capsules",price
"MegaFood, Complex C, 90 Tablets",price
"Advanced Orthomolecular Research AOR, BenaGene, 30 Capsules",price
"California Gold Nutrition, Liposomal Liquid Vitamin C, Unflavored, 1,000 mg, 30 Sachets",price
"NOW Foods, Vitamin C Crystals, 3 lbs (1361 g)",price
"NOW Foods, Sodium Ascorbate Powder, 8 oz (227 g)",price
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)",price
"MegaFood, Complex C, 60 Tablets",price
"Solgar, Ester-C Plus, Vitamin C, 500 mg, 250 Vegetable Capsules",price
"NutriBiotic, Immunity, Ascorbic Acid, 100% Pure Vitamin C, Crystalline Powder, 16 oz (454 g)",price
